head,relation,tail
Product features,is parent of,Cap features
Product features,is parent of,Eyeshadow powder
Product features,is parent of,Hair ergonomic
Product features,is parent of,Massaging scrubbing
Product features,is parent of,Shower experience
Product features,is parent of,Brush teqifu
Product features,is parent of,Pencil innovative
Product features,is parent of,Pack hair
B08LYT4Q2X,related to,Hair ergonomic
B08LYT4Q2X,related to,Pack hair
B089CSF11Y,related to,Shower experience
B081ZN3TD5,related to,Shower experience
B081ZN3TD5,related to,Hair ergonomic
B081ZN3TD5,related to,Pack hair
B08HMLXW65,related to,Hair ergonomic
B08HMLXW65,related to,Pack hair
B09GNXK3N1,related to,Product features
B09GNXK3N1,related to,Shower experience
B09GNXK3N1,related to,Cap features
B08JCX3DL7,related to,Pencil innovative
B08JCX3DL7,related to,Eyeshadow powder
B08SQ31H8P,related to,Brush teqifu
B08SQ31H8P,related to,Hair ergonomic
B08SQ31H8P,related to,Pack hair
B08SQ31H8P,related to,Shower experience
B08SQ31H8P,related to,Massaging scrubbing
